#water_vapour=f(CIBR)=square(b0*log10(CIBR)+b1)
#CIBR=Band_in_WV/Band_out_WV
#Sentinel 2-> CIBR= Band_9/Band_8A
#WV[g/cm2]
surface_reflectance;sun_zenith;view_zenith;azimuth;ground_altitude;b0;b1
0.05;0;15;90;2.0;-2.96258421299;-0.173308102823
0.05;0;15;90;3.0;-3.01228379713;-0.163539065564
0.05;0;15;90;4.0;-3.13724871302;-0.17680609738
0.05;0;15;125;0.0;-2.68342995643;-0.124532890579
0.05;0;15;125;0.5;-2.69272003602;-0.117968935694
0.05;0;15;125;1.0;-2.73239577871;-0.124030427935
0.05;0;15;125;1.5;-2.88436997163;-0.155666500632
0.05;0;15;125;2.0;-2.95678276753;-0.162485035671
0.05;0;15;125;3.0;-2.96872812732;-0.153643775021
0.05;0;15;125;4.0;-3.12279180597;-0.17264063681
0.05;0;15;180;0.0;-2.72215000471;-0.138729325049
0.05;0;15;180;0.5;-2.70159171062;-0.122140664863
0.05;0;15;180;1.0;-2.73597374744;-0.125536153407
0.05;0;15;180;1.5;-2.85486972261;-0.149889469951
0.05;0;15;180;2.0;-2.92909590656;-0.158237754927
0.05;0;15;180;3.0;-2.96104456466;-0.145081658988
0.05;0;15;180;4.0;-3.11895055714;-0.167260999751
0.05;0;20;0;0.0;-2.71085441698;-0.142884977472
0.05;0;20;0;0.5;-2.66951698455;-0.118354674548
0.05;0;20;0;1.0;-2.72471558589;-0.124916567925
0.05;0;20;0;1.5;-2.85114455949;-0.148418174507
0.05;0;20;0;2.0;-2.90053019658;-0.158457397526
0.05;0;20;0;3.0;-2.9413376039;-0.152106858978
0.05;0;20;0;4.0;-3.06748332262;-0.161816047972
0.05;0;20;45;0.0;-2.67091943333;-0.127894001519
0.05;0;20;45;0.5;-2.66742402261;-0.122418739249
0.05;0;20;45;1.0;-2.72350200114;-0.123748774135
0.05;0;20;45;1.5;-2.83055802558;-0.141073795303
0.05;0;20;45;2.0;-2.89986956806;-0.154635053713
0.05;0;20;45;3.0;-2.96437132174;-0.154162952716
0.05;0;20;45;4.0;-3.06481470367;-0.164033186832
0.05;0;20;90;0.0;-2.70220547152;-0.138865086512
0.05;0;20;90;0.5;-2.68562733642;-0.120058754704
